pattern,support
12299 -1,562
10291 -1,472
12339 -1,910
10295 -1,2009
10295 -1 10299 -1,323
10295 -1 10307 -1,916
10295 -1 10307 -1 10311 -1,417
10295 -1 10307 -1 10315 -1,335
10295 -1 10311 -1,738
10295 -1 10311 -1 10315 -1,351
10295 -1 10315 -1,722
10295 -1 12895 -1,398
10295 -1 12695 -1,336
10299 -1,721
10299 -1 10307 -1,460
10303 -1,461
10307 -1,2797
10307 -1 10311 -1,621
10307 -1 10315 -1,496
10307 -1 12895 -1,439
12355 -1,1089
34885 -1,937
10311 -1,2371
10311 -1 12875 -1,337
10311 -1 10315 -1,771
10311 -1 12703 -1,576
10311 -1 12483 -1,469
10311 -1 12483 -1 12487 -1,310
10311 -1 12487 -1,615
10311 -1 12487 -1 12703 -1,322
10311 -1 32213 -1,463
34889 -1,755
10315 -1,3449
10315 -1 10335 -1,426
10315 -1 12895 -1,356
10315 -1 12703 -1,330
10315 -1 12483 -1,356
10315 -1 12487 -1,381
34893 -1,1201
12367 -1,383
34897 -1,682
34901 -1,617
34905 -1,723
10331 -1,690
18527 -1,300
10335 -1,1167
10339 -1,455
34921 -1,336
12399 -1,320
34929 -1,319
12403 -1,411
18547 -1,407
12407 -1,756
12411 -1,797
12419 -1,331
12431 -1,1198
12447 -1,388
12451 -1,314
12459 -1,345
12463 -1,797
12467 -1,474
18619 -1,457
12479 -1,731
12483 -1,2049
12483 -1 12703 -1,337
12483 -1 12487 -1,877
12487 -1,2268
12487 -1 12875 -1,432
12487 -1 34893 -1,351
12487 -1 12703 -1,631
12487 -1 12703 -1 32213 -1,315
12487 -1 32213 -1,506
12491 -1,440
12495 -1,543
12515 -1,410
12523 -1,449
12527 -1,463
12531 -1,410
18691 -1,467
12547 -1,471
12551 -1,527
12555 -1,477
12559 -1,1099
18707 -1,412
12567 -1,890
12571 -1,676
12575 -1,485
18723 -1,319
12603 -1,648
12607 -1,365
12611 -1,587
20807 -1,475
12621 -1,1488
12627 -1,781
18787 -1,736
12647 -1,411
12655 -1,758
35185 -1,639
12659 -1,1006
12663 -1,1793
12667 -1,570
12675 -1,553
12679 -1,1788
12679 -1 12683 -1,326
12679 -1 12703 -1,385
12679 -1 12895 -1,411
12683 -1,779
35213 -1,358
18831 -1,410
12687 -1,724
12691 -1,1002
12695 -1,1422
12695 -1 12703 -1,615
12703 -1,1948
12703 -1 12875 -1,303
12703 -1 34893 -1,320
12703 -1 32213 -1,571
18855 -1,334
12711 -1,521
12715 -1,1214
12719 -1,377
18863 -1,863
12723 -1,1267
12727 -1,486
18871 -1,394
12731 -1,345
18879 -1,355
12735 -1,439
12739 -1,407
12743 -1,462
32201 -1,596
12747 -1,511
32205 -1,871
32205 -1 32213 -1,381
12751 -1,1039
32209 -1,516
12755 -1,652
32213 -1,1616
12759 -1,845
12763 -1,696
12767 -1,409
12771 -1,671
12775 -1,438
12779 -1,794
12783 -1,945
12787 -1,440
12795 -1,908
12795 -1 12819 -1,307
12795 -1 12831 -1,359
12807 -1,583
12815 -1,704
12815 -1 12895 -1,552
12819 -1,1113
12823 -1,605
12827 -1,1017
12827 -1 12895 -1,590
48667 -1,491
12831 -1,1180
12835 -1,533
48675 -1,587
12843 -1,396
12847 -1,473
12855 -1,436
12867 -1,483
48707 -1,335
12871 -1,379
12875 -1,1355
12879 -1,410
10833 -1,310
12883 -1,498
12887 -1,308
10841 -1,328
12895 -1,3623
12895 -1 33449 -1,345
10849 -1,318
12903 -1,351
10857 -1,448
12907 -1,448
10861 -1,469
10877 -1,1389
10881 -1,389
33425 -1,405
33429 -1,600
33433 -1,891
33433 -1 33449 -1,424
33433 -1 33453 -1,305
33433 -1 33469 -1,509
33437 -1,386
33449 -1,3658
33449 -1 33469 -1,1204
33453 -1,651
33453 -1 33469 -1,403
33469 -1,3612
47945 -1,620
47949 -1,512
47953 -1,561
47957 -1,627
47965 -1,329
47973 -1,337
18423 -1,347
18427 -1,439
