sequence_id,pos,item
s1,1,1
s1,2,2
s1,3,3
s1,4,4
s1,5,5
s1,6,6
s1,7,7
s1,8,8
s1,9,9
s1,10,10
s1,11,11
s1,12,12
s1,13,13
s1,14,14
s1,15,15
s1,16,16
s1,17,17
s1,18,18
s1,19,19
s1,20,20
s1,21,21
s1,22,22
s1,23,23
s1,24,24
s1,25,5
s1,26,25
s1,27,16
s1,28,26
s1,29,27
s1,30,28
s1,31,29
s1,32,30
s1,33,31
s1,34,32
s1,35,33
s1,36,34
s1,37,35
s1,38,33
s1,39,36
s1,40,37
s1,41,38
s1,42,10
s1,43,39
s2,1,40
s2,2,41
s2,3,42
s2,4,43
s2,5,44
s2,6,45
s2,7,46
s2,8,47
s2,9,31
s2,10,43
s2,11,48
s2,12,45
s2,13,46
s2,14,49
s3,1,31
s3,2,50
s3,3,51
s3,4,15
s3,5,52
s3,6,53
s3,7,54
s3,8,55
s3,9,56
s3,10,8
s3,11,57
s3,12,31
s3,13,56
s3,14,50
s3,15,14
s3,16,58
s3,17,59
s3,18,60
s3,19,61
s3,20,53
s3,21,62
s3,22,63
s3,23,64
s3,24,14
s3,25,41
s3,26,65
s3,27,8
s3,28,15
s3,29,66
s3,30,31
s3,31,38
s3,32,67
s3,33,8
s3,34,15
s3,35,68
s4,1,69
s4,2,62
s4,3,70
s4,4,15
s4,5,71
s4,6,16
s4,7,72
s4,8,73
s4,9,72
s4,10,74
s4,11,75
s4,12,20
s4,13,4
s4,14,52
s4,15,76
s5,1,77
s5,2,78
s5,3,51
s5,4,79
s5,5,18
s5,6,80
s5,7,22
s5,8,81
s5,9,52
s5,10,82
s5,11,46
s5,12,83
s5,13,20
s5,14,84
s5,15,33
s5,16,10
s5,17,85
s5,18,86
s5,19,73
s5,20,61
s5,21,87
s5,22,46
s5,23,88
s5,24,20
s5,25,89
s6,1,90
s6,2,91
s6,3,92
s6,4,93
s6,5,22
s6,6,94
s6,7,95
s6,8,96
s6,9,97
s6,10,31
s6,11,98
s6,12,99
s6,13,31
s6,14,100
s6,15,101
s6,16,22
s6,17,102
s6,18,103
s6,19,46
s6,20,104
s6,21,105
s6,22,3
s6,23,46
s6,24,106
s6,25,107
s6,26,108
