sequence_id,pos,item
s1,1,3032
s1,2,3032
s2,1,3031
s2,2,3031
s3,1,3051
s3,2,3051
s4,1,3040
s4,2,3006
s4,3,3055
s4,4,3038
s5,1,3018
s5,2,3008
s5,3,3008
s6,1,3018
s6,2,3018
s6,3,3068
s6,4,3014
s6,5,3005
s7,1,3052
s7,2,3049
s8,1,3028
s8,2,3006
s9,1,3076
s9,2,3032
s9,3,3006
s10,1,3076
s10,2,3008
s11,1,3006
s11,2,3047
s11,3,3063
s12,1,3018
s12,2,3068
s12,3,3014
s12,4,3068
s12,5,3028
s12,6,3065
s12,7,3016
s13,1,3031
s13,2,3074
s14,1,3030
s14,2,3016
s15,1,3065
s15,2,3052
s16,1,3040
s16,2,3006
s17,1,3036
s17,2,3016
s18,1,3066
s18,2,3058
s18,3,3022
s18,4,3054
s19,1,3030
s19,2,3021
s19,3,3075
s19,4,3031
s19,5,3035
s19,6,3040
s19,7,3035
s20,1,3016
s20,2,3016
s21,1,3058
s21,2,3058
s21,3,3034
s21,4,3076
s22,1,3068
s22,2,3006
s23,1,3063
s23,2,3008
s24,1,3006
s24,2,3014
s24,3,3065
s24,4,3014
s25,1,3016
s25,2,3033
s25,3,3030
s25,4,3042
s25,5,3007
s25,6,3038
s25,7,3014
s26,1,3018
s26,2,3007
s26,3,3047
s26,4,3007
s27,1,3063
s27,2,3018
s28,1,3038
s28,2,3005
s28,3,3037
s28,4,3005
s28,5,3055
s28,6,3030
s29,1,3067
s29,2,3005
s30,1,3063
s30,2,3079
s30,3,3036
s30,4,3036
s30,5,3007
s31,1,3014
s31,2,3016
s31,3,3016
s32,1,3018
s32,2,3038
s32,3,3076
s33,1,3014
s33,2,3005
s34,1,3055
s34,2,3045
s34,3,3055
s34,4,3063
s34,5,3076
s35,1,3053
s35,2,3005
s35,3,3042
s35,4,3030
s35,5,3022
s36,1,3031
s36,2,3074
s36,3,3067
s36,4,3053
s37,1,3069
s37,2,3065
s37,3,3005
s37,4,3005
s38,1,3077
s38,2,3049
s38,3,3042
s38,4,3026
s38,5,3053
s39,1,3006
s39,2,3052
s39,3,3049
s39,4,3033
s39,5,3049
s39,6,3030
s39,7,3038
s39,8,3014
s40,1,3062
s40,2,3063
s40,3,3055
s40,4,3030
s41,1,3042
s41,2,3030
s42,1,3038
s42,2,3038
s42,3,3023
s43,1,3056
s43,2,3018
s43,3,3053
s44,1,3030
s44,2,3014
s45,1,3067
s45,2,3021
s45,3,3067
s45,4,3067
s45,5,3038
s46,1,3078
s46,2,3030
s46,3,3055
s46,4,3079
s47,1,3034
s47,2,3035
s47,3,3005
s47,4,3075
s47,5,3032
s47,6,3079
s48,1,3034
s48,2,3051
s49,1,3022
s49,2,3022
s49,3,3051
s50,1,3053
s50,2,3063
s51,1,3030
s51,2,3042
s52,1,3075
s52,2,3005
s52,3,3062
s52,4,3021
s52,5,3030
s52,6,3008
s52,7,3005
s53,1,3035
s53,2,3006
s54,1,3063
s54,2,3005
s54,3,3040
s54,4,3052
s54,5,3052
s54,6,3052
s54,7,3035
s54,8,3052
s54,9,3006
s55,1,3032
s55,2,3067
s55,3,3014
s55,4,3058
s56,1,3049
s56,2,3042
s56,3,3014
s56,4,3074
s57,1,3034
s57,2,3005
s58,1,3006
s58,2,3055
s58,3,3063
s59,1,3057
s59,2,3057
s59,3,3053
s60,1,3014
s60,2,3014
s60,3,3065
s60,4,3036
s60,5,3022
s60,6,3006
s60,7,3055
s60,8,3063
s61,1,3034
s61,2,3016
s61,3,3014
s61,4,3014
s61,5,3014
s61,6,3042
s61,7,3016
s61,8,3006
s62,1,3034
s62,2,3056
s63,1,3038
s63,2,3058
s64,1,3057
s64,2,3069
s64,3,3031
s64,4,3057
s65,1,3047
s65,2,3060
s66,1,3030
s66,2,3014
s67,1,3026
s67,2,3056
s68,1,3062
s68,2,3006
s68,3,3006
s68,4,3032
s68,5,3074
s68,6,3006
s69,1,3034
s69,2,3016
s69,3,3014
s69,4,3079
s70,1,3080
s70,2,3019
s70,3,3019
s70,4,3020
s70,5,3067
s70,6,3021
s70,7,3079
s71,1,3029
s71,2,3042
s71,3,3063
s72,1,3030
s72,2,3016
s73,1,3038
s73,2,3037
s73,3,3021
s73,4,3079
s74,1,3014
s74,2,3062
s74,3,3034
s74,4,3075
s75,1,3022
s75,2,3014
s75,3,3035
s75,4,3028
s75,5,3030
s75,6,3016
s75,7,3042
s76,1,3052
s76,2,3030
s76,3,3036
s77,1,3034
s77,2,3005
s77,3,3005
s78,1,3005
s78,2,3040
s78,3,3042
s78,4,3027
s78,5,3042
s79,1,3006
s79,2,3022
s79,3,3028
s79,4,3008
s79,5,3031
s79,6,3008
s79,7,3005
s80,1,3038
s80,2,3023
s81,1,3068
s81,2,3049
s82,1,3052
s82,2,3031
s83,1,3022
s83,2,3036
s83,3,3022
s83,4,3042
s84,1,3068
s84,2,3006
s84,3,3051
s84,4,3075
s85,1,3016
s85,2,3021
s85,3,3051
s85,4,3062
s85,5,3005
s86,1,3075
s86,2,3007
s86,3,3075
s86,4,3031
s87,1,3032
s87,2,3032
s87,3,3063
s87,4,3034
s87,5,3006
s87,6,3074
s87,7,3006
s87,8,3031
s88,1,3058
s88,2,3030
s88,3,3069
s89,1,3076
s89,2,3038
s89,3,3029
s89,4,3042
s89,5,3030
s89,6,3054
s89,7,3042
s89,8,3063
s90,1,3016
s90,2,3042
s91,1,3014
s91,2,3016
s92,1,3040
s92,2,3005
s93,1,3066
s93,2,3066
s93,3,3023
s93,4,3031
s94,1,3030
s94,2,3031
s95,1,3076
s95,2,3062
s95,3,3042
s95,4,3042
s95,5,3030
s95,6,3065
s95,7,3022
s95,8,3023
s95,9,3049
s96,1,3022
s96,2,3022
s97,1,3069
s97,2,3075
s98,1,3062
s98,2,3063
s99,1,3042
s99,2,3042
s100,1,3079
s100,2,4108
s100,3,4108
s101,1,3018
s101,2,3019
s101,3,3062
s102,1,3037
s102,2,3022
s103,1,3040
s103,2,3006
s103,3,3029
s103,4,3062
s104,1,3052
s104,2,3068
s104,3,3028
s104,4,3042
s104,5,3067
s104,6,3031
s105,1,3069
s105,2,3005
s105,3,3031
s105,4,3031
s105,5,3030
s105,6,3067
s105,7,3022
s105,8,3031
s106,1,3042
s106,2,3016
s106,3,3036
s107,1,3076
s107,2,3038
s107,3,3035
s107,4,3038
s107,5,3047
s108,1,3016
s108,2,3030
s108,3,3069
s108,4,3069
s108,5,3019
s108,6,3021
s109,1,3006
s109,2,3008
s109,3,3031
s109,4,3005
s110,1,3057
s110,2,3066
s110,3,3065
s110,4,3066
s110,5,3031
s110,6,3031
s110,7,3034
s110,8,3031
s111,1,3006
s111,2,3052
s111,3,3035
s111,4,3006
s111,5,3047
s112,1,3055
s112,2,3055
s112,3,3014
s112,4,3014
s112,5,3055
s112,6,3058
s112,7,3055
s113,1,3014
s113,2,3014
s113,3,3014
s113,4,3027
s113,5,3035
s113,6,3031
s113,7,3031
s114,1,3018
s114,2,3053
s114,3,3078
s114,4,3053
s115,1,3021
s115,2,3062
s115,3,3051
s115,4,3022
s116,1,3037
s116,2,3055
s116,3,3022
s117,1,3042
s117,2,3049
s117,3,3006
s117,4,3042
s117,5,3014
s117,6,3062
s117,7,3021
s118,1,3027
s118,2,3005
s119,1,3022
s119,2,3042
s119,3,3027
s120,1,3005
s120,2,3030
s121,1,3021
s121,2,3054
s121,3,3030
s121,4,3036
s122,1,3056
s122,2,3018
s123,1,3032
s123,2,3035
s123,3,3021
s123,4,3021
s124,1,3052
s124,2,3007
