sequence_id,pos,item
s1,1,10307
s1,2,10311
s1,3,12487
s2,1,12559
s3,1,12695
s3,2,12703
s3,3,18715
s4,1,10311
s4,2,12387
s4,3,12515
s4,4,12691
s4,5,12695
s4,6,12699
s4,7,12703
s4,8,12823
s4,9,12831
s4,10,12847
s4,11,18595
s4,12,18679
s4,13,18751
s5,1,10291
s5,2,12523
s5,3,12531
s5,4,12535
s5,5,12883
s6,1,12523
s6,2,12539
s6,3,12803
s6,4,12819
s7,1,12819
s8,1,12471
s8,2,12491
s8,3,12531
s8,4,12535
s8,5,12567
s8,6,12663
s8,7,12667
s8,8,12823
s8,9,18447
s8,10,18507
s8,11,18691
s9,1,12487
s10,1,12547
s10,2,12815
s10,3,12895
s11,1,12527
s11,2,12799
s11,3,12807
s11,4,12819
s11,5,12879
s12,1,12807
s13,1,12875
s14,1,12407
s14,2,12507
s14,3,12519
s14,4,12547
s15,1,12479
s15,2,12483
s15,3,12487
s15,4,12527
s15,5,12535
s15,6,12539
s15,7,12555
s15,8,12715
s15,9,12723
s15,10,18447
s15,11,18619
s15,12,18691
s15,13,18815
s15,14,18819
s15,15,18831
s16,1,12403
s17,1,12875
s18,1,12371
s18,2,12419
s19,1,12823
s20,1,18547
s20,2,18587
s20,3,18735
s21,1,12523
s22,1,12459
s22,2,12523
s22,3,12531
s22,4,12559
s22,5,12663
s22,6,12667
s22,7,12687
s22,8,12847
s22,9,12851
s23,1,12621
s23,2,12647
s23,3,12667
s23,4,12807
s23,5,18707
s23,6,18715
s23,7,18747
s23,8,18755
s23,9,18763
s23,10,18767
s24,1,12647
s25,1,12395
s25,2,12403
s25,3,12431
s25,4,12447
s25,5,12451
s25,6,12515
s25,7,12679
s25,8,12715
s25,9,12727
s25,10,18431
s26,1,12511
s26,2,12627
s26,3,18507
s26,4,18755
s27,1,12559
s28,1,12663
s29,1,12647
s30,1,12299
s30,2,12355
s30,3,12367
s30,4,12395
s30,5,12419
s30,6,12431
s30,7,12435
s30,8,12443
s31,1,12403
s31,2,12411
s31,3,18547
s31,4,18619
s32,1,10877
s32,2,12399
s33,1,18547
s34,1,10849
s34,2,12431
s34,3,12663
s34,4,12743
s34,5,12747
s34,6,12751
s35,1,12895
s36,1,12463
s37,1,12299
s37,2,12395
s37,3,12399
s37,4,12403
s37,5,12443
s38,1,12327
s38,2,12351
s38,3,12355
s38,4,12655
s38,5,12723
s38,6,12727
s38,7,12803
s38,8,12895
s39,1,12663
s40,1,12403
s41,1,12567
s42,1,12621
s43,1,12503
s44,1,12895
s45,1,10849
s45,2,18471
s46,1,12403
s46,2,12895
s46,3,18691
s47,1,10307
s48,1,12621
s48,2,12775
s49,1,12875
s50,1,12403
s51,1,12895
s52,1,10315
s52,2,10829
s52,3,10837
s52,4,12819
s52,5,12823
s52,6,18507
s52,7,18627
s52,8,18675
s52,9,18735
s53,1,12495
s53,2,12895
s54,1,12823
s55,1,18423
s56,1,12695
s57,1,12555
s58,1,12627
s59,1,12555
s60,1,18615
s60,2,18619
s60,3,18743
s60,4,18747
s60,5,18751
s60,6,18755
s60,7,18759
s60,8,18763
s60,9,18767
s61,1,10315
s61,2,10837
s61,3,10853
s61,4,12411
s61,5,12555
s61,6,18723
s61,7,18727
s61,8,18731
s62,1,18439
s62,2,18443
s62,3,18447
s62,4,18451
s62,5,18455
s62,6,18459
s62,7,18855
s63,1,12591
s64,1,12695
s64,2,12703
s65,1,12447
s65,2,12555
s65,3,12727
s65,4,18527
s65,5,18559
s65,6,18691
s65,7,18723
s65,8,18735
s65,9,18871
s65,10,27385
s66,1,12591
s67,1,12439
s68,1,12547
s69,1,12591
s70,1,12663
s70,2,18787
s71,1,12547
s72,1,12431
s73,1,12547
s74,1,12547
s75,1,10311
s75,2,18651
s75,3,18871
s75,4,18879
s76,1,18723
s76,2,18787
s76,3,18871
s77,1,12419
s77,2,12503
s77,3,12567
s77,4,12831
s77,5,18635
s77,6,18723
s77,7,18787
s78,1,10303
s78,2,10311
s78,3,10319
s78,4,10323
s78,5,10339
s78,6,10343
s78,7,10829
s78,8,10833
s78,9,10837
s78,10,10849
s78,11,10853
s78,12,10857
s78,13,10861
s78,14,10865
s78,15,10869
s78,16,12323
s78,17,12471
s78,18,12475
s78,19,12487
s78,20,12571
s78,21,12575
s78,22,12647
s78,23,12651
s78,24,12655
s78,25,12659
s78,26,12667
s78,27,12671
s78,28,12679
s78,29,12699
s78,30,12703
s78,31,12711
s78,32,12715
s78,33,12719
s78,34,12735
s78,35,12739
s78,36,12743
s78,37,12759
s78,38,12763
s78,39,12779
s78,40,12799
s78,41,12827
s78,42,12835
s78,43,12839
s78,44,12847
s78,45,12851
s78,46,12859
s78,47,12863
s78,48,12867
s78,49,12875
s78,50,12883
s78,51,12887
s78,52,18415
s78,53,18707
s79,1,10881
s79,2,12663
s79,3,18431
s79,4,18647
s79,5,18831
s80,1,12675
s81,1,18707
s81,2,18863
s82,1,10291
s82,2,10295
s82,3,10299
s82,4,10307
s82,5,10327
s82,6,10331
s82,7,12663
s82,8,12679
s82,9,12683
s82,10,12695
s82,11,12699
s82,12,12703
s82,13,12799
s82,14,12819
s82,15,12823
s82,16,12827
s82,17,12831
s82,18,12879
s82,19,12895
s83,1,12875
s84,1,18547
s84,2,18863
s85,1,18707
s86,1,12627
s86,2,12631
s87,1,10829
s87,2,10833
s88,1,12547
s89,1,12411
s89,2,12503
s90,1,12431
s91,1,12431
s91,2,18523
s92,1,12507
s92,2,12567
s92,3,18507
s92,4,18523
s92,5,18567
s92,6,18595
s92,7,18635
s92,8,18799
s92,9,18811
s93,1,12547
s94,1,12551
s95,1,12515
s96,1,18675
s96,2,18683
s97,1,12355
s97,2,12607
s98,1,10291
s98,2,10295
s98,3,10299
s98,4,10307
s98,5,10315
s98,6,10327
s98,7,10331
s98,8,10335
s98,9,12523
s98,10,12527
s98,11,12531
s98,12,12631
s98,13,12695
s99,1,10311
s99,2,10315
s99,3,12487
s99,4,12523
s100,1,12559
s100,2,12567
s101,1,18787
s101,2,18871
s101,3,18879
s102,1,12487
s103,1,12547
s104,1,10295
s104,2,12691
s105,1,12559
s106,1,12627
s106,2,18459
s107,1,20807
s108,1,12559
s109,1,12659
s110,1,12655
s110,2,12695
s111,1,12559
s111,2,12567
s112,1,10327
s112,2,10331
s112,3,10335
s112,4,12531
s112,5,12687
s112,6,12691
s112,7,12795
s112,8,12803
s112,9,12815
s112,10,12819
s112,11,12831
s113,1,12491
s114,1,12559
s115,1,12559
s116,1,12551
s117,1,12559
s118,1,12403
s119,1,12479
s119,2,12627
s119,3,12683
s119,4,12687
s119,5,12795
s119,6,12803
s119,7,12815
s119,8,12831
s120,1,12343
s120,2,12347
s120,3,12351
s120,4,12355
s120,5,12559
s120,6,12711
s120,7,12723
s120,8,12727
s120,9,12883
s120,10,18563
s121,1,12851
s122,1,12567
s123,1,10295
s123,2,10307
s123,3,10311
s123,4,12663
s123,5,12667
s123,6,12683
s124,1,12579
s125,1,10307
s125,2,12663
s126,1,18707
s127,1,10311
s127,2,10861
s127,3,12479
s127,4,12483
s127,5,12487
s127,6,12491
s127,7,12663
s127,8,12759
s127,9,18619
s127,10,18847
s127,11,18863
s127,12,18871
s128,1,12621
s129,1,10303
s129,2,10311
s129,3,10319
s129,4,10323
s129,5,10339
s129,6,10343
s129,7,10829
s129,8,10833
s129,9,10837
s129,10,10841
s129,11,10845
s129,12,10849
s129,13,10853
s129,14,10857
s129,15,10861
s129,16,10865
s129,17,10869
s129,18,10877
s129,19,10881
s129,20,12323
s129,21,12327
s129,22,12331
s129,23,12335
s129,24,12343
s129,25,12347
s129,26,12351
s129,27,12355
s129,28,12431
s129,29,12471
s129,30,12475
s129,31,12487
s129,32,12547
s129,33,12551
s129,34,12555
s129,35,12559
s129,36,12563
s129,37,12567
s129,38,12571
s129,39,12575
s129,40,12579
s129,41,12583
s129,42,12587
s129,43,12591
s129,44,12595
s129,45,12621
s129,46,12647
s129,47,12651
s129,48,12655
s129,49,12659
s129,50,12667
s129,51,12671
s129,52,12679
s129,53,12699
s129,54,12703
s129,55,12711
s129,56,12715
s129,57,12719
s129,58,12735
s129,59,12739
s129,60,12743
s129,61,12759
s129,62,12763
s129,63,12779
s129,64,12799
s129,65,12823
s129,66,12827
s129,67,12835
s129,68,12839
s129,69,12847
s129,70,12851
s129,71,12859
s129,72,12863
s129,73,12867
s129,74,12875
s129,75,12883
s129,76,12887
s129,77,12891
s129,78,12895
s130,1,12551
s130,2,12559
s131,1,18575
s131,2,18787
s131,3,18863
s132,1,18871
s133,1,18827
s133,2,18831
s134,1,12775
s135,1,10295
s135,2,10307
s135,3,10315
s135,4,12399
s135,5,12559
s135,6,12811
s135,7,12847
s135,8,18779
s136,1,12403
s136,2,12495
s136,3,12503
s136,4,12663
s137,1,10295
s137,2,10307
s137,3,10311
s137,4,10315
s137,5,10849
s137,6,10877
s137,7,12347
s137,8,12463
s137,9,12487
s137,10,12495
s137,11,12515
s137,12,12523
s137,13,12531
s137,14,12551
s137,15,12567
s137,16,12627
s137,17,12655
s137,18,12691
s137,19,12695
s137,20,12823
s137,21,12831
s137,22,12895
s137,23,12907
s137,24,18511
s138,1,10295
s138,2,10307
s138,3,10311
s138,4,10315
s138,5,10857
s138,6,10861
s138,7,12531
s138,8,12647
s138,9,12651
s138,10,12655
s138,11,12667
s138,12,12671
s138,13,12723
s138,14,12739
s138,15,12747
s138,16,12807
s138,17,12819
s138,18,12823
s138,19,12847
s138,20,12867
s138,21,18479
s138,22,18487
s138,23,18499
s138,24,18611
s138,25,18643
s138,26,18671
s138,27,18675
s138,28,18727
s138,29,18751
s138,30,18831
s138,31,18863
s139,1,12715
s140,1,12351
s140,2,12847
s141,1,12487
s141,2,12675
s142,1,12567
s143,1,10303
s143,2,10857
s143,3,10861
s143,4,10865
s143,5,12607
s143,6,12611
s143,7,12615
s143,8,12715
s143,9,12719
s143,10,12723
s143,11,12727
s143,12,12731
s143,13,12735
s143,14,12739
s143,15,12743
s143,16,12747
s143,17,12751
s143,18,12755
s143,19,12759
s143,20,12763
s143,21,12767
s143,22,12771
s143,23,12775
s143,24,12779
s143,25,12783
s143,26,12787
s144,1,10857
s144,2,10865
s144,3,12479
s144,4,12483
s144,5,12487
s144,6,12491
s144,7,12603
s144,8,12607
s144,9,12621
s144,10,12683
s144,11,12695
s144,12,12699
s144,13,12703
s144,14,12823
s144,15,12867
s144,16,18787
s145,1,18683
s145,2,18695
s146,1,18619
s146,2,18787
s147,1,12591
s148,1,12463
s148,2,12479
s148,3,12483
s148,4,12487
s148,5,18863
s149,1,12483
s149,2,12491
s149,3,12663
s149,4,12667
s149,5,12671
s150,1,12727
s151,1,10311
s151,2,10323
s151,3,12479
s151,4,12483
s151,5,12487
s152,1,12483
s152,2,12487
s152,3,18627
s152,4,18651
s152,5,18787
s153,1,18423
s153,2,18427
s153,3,18431
s153,4,18443
s153,5,18447
s153,6,18451
s153,7,18455
s153,8,18459
s153,9,18511
s153,10,18515
s153,11,18519
s153,12,18527
s153,13,18535
s153,14,18539
s153,15,18543
s153,16,18551
s153,17,18555
s153,18,18559
s153,19,18563
s153,20,18567
s153,21,18571
s153,22,18575
s153,23,18579
s153,24,18595
s153,25,18603
s153,26,18615
s153,27,18619
s153,28,18627
s153,29,18631
s153,30,18635
s153,31,18639
s153,32,18643
s153,33,18647
s153,34,18651
s153,35,18655
s153,36,18659
s153,37,18663
s153,38,18675
s153,39,18683
s153,40,18691
s153,41,18695
s153,42,18699
s153,43,18703
s153,44,18707
s153,45,18711
s153,46,18715
s153,47,18719
s153,48,18723
s153,49,18727
s153,50,18731
s153,51,18735
s153,52,18743
s153,53,18747
s153,54,18751
s153,55,18755
s153,56,18759
s153,57,18763
s153,58,18767
s153,59,18795
s153,60,18799
s153,61,18807
s153,62,18847
s153,63,18855
s153,64,20807
s153,65,27385
s153,66,27389
s154,1,10315
s155,1,12399
s155,2,12503
s155,3,18787
s155,4,18831
s156,1,18831
s157,1,12459
s157,2,12523
s157,3,12531
s158,1,12451
s158,2,12621
s158,3,12663
s158,4,12847
s158,5,18419
s158,6,18447
s158,7,18455
s158,8,18547
s158,9,18611
s158,10,18619
s158,11,18675
s158,12,18707
s158,13,18795
s158,14,18855
s158,15,18863
s159,1,12739
s159,2,12835
s159,3,12847
s159,4,18419
s159,5,18535
s159,6,18611
s159,7,18651
s159,8,18855
s159,9,20803
s160,1,12451
s160,2,12783
s160,3,18831
s161,1,18619
s162,1,18863
s163,1,18639
s164,1,12431
s165,1,12403
s165,2,12411
s165,3,12487
s166,1,10311
s166,2,12607
s167,1,12451
s167,2,12751
s168,1,12879
s169,1,12411
s169,2,12515
s170,1,10311
s170,2,12355
s170,3,12699
s170,4,12895
s171,1,10311
s171,2,12479
s171,3,12483
s171,4,12487
s171,5,12507
s171,6,12643
s171,7,12659
s172,1,10295
s172,2,10307
s172,3,12447
s172,4,12495
s172,5,18691
s172,6,18879
s173,1,12483
s173,2,12555
s173,3,18871
s174,1,12567
s175,1,12411
s176,1,10307
s176,2,12411
s176,3,12663
s176,4,12679
s176,5,12895
s177,1,12431
s178,1,12847
s179,1,12621
s179,2,18855
s180,1,12355
s181,1,12579
s182,1,12511
s183,1,12559
s183,2,12683
s183,3,12719
s183,4,12731
s183,5,12759
s183,6,12819
s184,1,18691
s185,1,12371
s185,2,12691
s186,1,12299
s186,2,12371
s186,3,12395
s186,4,12419
s186,5,12439
s187,1,10291
s187,2,10295
s187,3,10299
s187,4,10303
s187,5,10307
s187,6,10311
s187,7,10319
s187,8,10829
s187,9,10833
s187,10,10837
s187,11,10841
s187,12,10845
s187,13,10853
s187,14,10857
s187,15,10861
s187,16,10865
s187,17,10869
s187,18,10877
s187,19,10881
s187,20,12299
s187,21,12323
s187,22,12327
s187,23,12331
s187,24,12335
s187,25,12339
s187,26,12343
s187,27,12347
s187,28,12351
s187,29,12355
s187,30,12367
s187,31,12371
s187,32,12375
s187,33,12395
s187,34,12399
s187,35,12403
s187,36,12407
s187,37,12411
s187,38,12415
s187,39,12419
s187,40,12423
s187,41,12427
s187,42,12431
s187,43,12435
s187,44,12439
s187,45,12443
s187,46,12447
s187,47,12451
s187,48,12459
s187,49,12463
s187,50,12467
s187,51,12483
