sequence_id,pos,item
s1,1,36
s1,2,37
s1,3,38
s1,4,17
s1,5,39
s1,6,40
s1,7,41
s1,8,18
s1,9,42
s1,10,8
s1,11,43
s1,12,44
s1,13,17
s1,14,21
s1,15,45
s1,16,46
s1,17,47
s1,18,48
s1,19,49
s1,20,50
s1,21,51
s1,22,52
s1,23,53
s1,24,29
s1,25,54
s1,26,55
s1,27,56
s1,28,29
s1,29,57
s1,30,58
s1,31,3
s1,32,59
s1,33,14
s1,34,60
s1,35,20
s1,36,61
s1,37,40
s1,38,62
s1,39,63
s1,40,33
s1,41,34
s1,42,38
s2,1,36
s2,2,64
s2,3,17
s2,4,8
s2,5,65
s2,6,39
s2,7,40
s2,8,66
s2,9,14
s2,10,8
s2,11,67
s2,12,39
s2,13,25
s2,14,22
s2,15,68
s2,16,14
s2,17,8
s2,18,69
s2,19,39
s2,20,25
s2,21,22
s2,22,60
s2,23,70
s2,24,41
s2,25,71
s2,26,8
s2,27,72
s2,28,73
s2,29,74
s2,30,20
s2,31,75
s2,32,76
s2,33,3
s2,34,8
s2,35,77
s3,1,78
s3,2,79
s3,3,80
s3,4,81
s3,5,82
s3,6,29
s3,7,83
s3,8,14
s3,9,84
s3,10,85
s3,11,86
s3,12,18
s3,13,87
s3,14,19
s4,1,155
s4,2,8
s4,3,156
s4,4,14
s4,5,157
s4,6,3
s4,7,96
s4,8,8
s4,9,158
s4,10,18
s4,11,26
s4,12,73
s4,13,159
s4,14,160
s4,15,161
s4,16,162
s4,17,13
s4,18,163
s4,19,164
s4,20,14
s4,21,165
s4,22,166
s4,23,29
s4,24,167
s4,25,92
s4,26,8
s4,27,168
s4,28,169
s4,29,32
s4,30,19
s4,31,170
s4,32,3
s4,33,11
s4,34,21
s4,35,8
s4,36,171
s5,1,1
s5,2,1
s5,3,1
s5,4,172
s5,5,173
s5,6,8
s5,7,174
s5,8,18
s5,9,26
s5,10,34
s5,11,19
s5,12,175
s5,13,147
s5,14,176
s5,15,1
s5,16,1
s5,17,1
s5,18,177
s5,19,8
s5,20,178
s5,21,179
s5,22,14
s5,23,8
s5,24,180
s5,25,181
s5,26,96
s5,27,17
s5,28,19
s6,1,1
s6,2,1
s6,3,1
s6,4,182
s6,5,183
s6,6,14
s6,7,3
s6,8,64
s6,9,157
s6,10,30
s6,11,17
s6,12,13
s6,13,64
s6,14,124
s6,15,8
s6,16,184
s6,17,14
s6,18,185
s6,19,186
s6,20,92
s6,21,187
s6,22,18
s6,23,40
s6,24,188
s6,25,14
s6,26,64
s6,27,30
s6,28,17
s6,29,29
s6,30,189
s6,31,14
s6,32,190
s6,33,30
s7,1,1
s7,2,1
s7,3,1
s7,4,191
s7,5,64
s7,6,17
s7,7,40
s7,8,192
s7,9,193
s8,1,1
s8,2,1
s8,3,1
s8,4,155
s8,5,64
s8,6,17
s8,7,8
s8,8,194
s8,9,18
s8,10,195
s9,1,1
s9,2,1
s9,3,1
s9,4,196
s9,5,8
s9,6,162
s9,7,197
s9,8,17
s9,9,40
s9,10,198
s9,11,199
s9,12,200
s9,13,18
s9,14,201
s9,15,29
s9,16,202
s9,17,17
s9,18,203
s9,19,52
s9,20,3
s9,21,204
s9,22,18
s9,23,205
s9,24,39
s9,25,18
s9,26,206
s10,1,207
s10,2,208
s10,3,209
s10,4,210
s10,5,29
s10,6,103
s10,7,8
s10,8,84
s10,9,47
s10,10,31
s10,11,211
s10,12,212
s10,13,23
s10,14,213
s10,15,18
s10,16,214
s10,17,215
s10,18,216
s10,19,89
s10,20,217
s10,21,71
s10,22,218
s10,23,64
s10,24,219
s10,25,220
s10,26,219
s10,27,63
s10,28,221
s10,29,21
s10,30,206
s10,31,3
s10,32,222
s10,33,223
s10,34,18
s10,35,224
s10,36,225
s10,37,226
s10,38,227
s10,39,228
s11,1,229
s11,2,197
s11,3,17
s11,4,225
s11,5,198
s11,6,52
s11,7,18
s11,8,201
s11,9,230
s11,10,3
s11,11,96
s11,12,219
s11,13,231
s11,14,232
s11,15,233
s11,16,71
s11,17,221
s11,18,224
s11,19,225
s11,20,234
s11,21,219
s11,22,235
s11,23,216
s11,24,8
s11,25,236
s11,26,14
s11,27,29
s11,28,17
s11,29,237
s11,30,238
s11,31,239
s11,32,240
s12,1,96
s12,2,75
s12,3,52
s12,4,241
s12,5,20
s12,6,30
s12,7,17
s12,8,242
s12,9,243
s12,10,71
s12,11,244
s12,12,245
s12,13,8
s12,14,246
s12,15,247
s12,16,18
