sequence,support_count,support
<{15}>,10,0.384615
<{21}>,11,0.423077
<{68}>,11,0.423077
"<{1},{25}>",10,0.384615
"<{1},{28}>",11,0.423077
"<{1},{29}>",13,0.500000
"<{1},{30}>",10,0.384615
"<{1},{31}>",10,0.384615
"<{1},{34}>",12,0.461538
"<{1},{36}>",10,0.384615
"<{1},{39}>",10,0.384615
"<{1},{44}>",10,0.384615
"<{1},{45}>",11,0.423077
"<{1},{49}>",11,0.423077
"<{1},{51}>",12,0.461538
"<{11},{23}>",10,0.384615
"<{12},{253}>",10,0.384615
"<{16},{253}>",10,0.384615
"<{17},{34}>",10,0.384615
"<{17},{45}>",10,0.384615
"<{18},{34}>",10,0.384615
"<{22},{37}>",10,0.384615
"<{22},{38}>",10,0.384615
"<{26},{25}>",10,0.384615
"<{26},{29}>",10,0.384615
"<{26},{30}>",10,0.384615
"<{26},{38}>",11,0.423077
"<{26},{45}>",10,0.384615
"<{27},{25}>",10,0.384615
"<{30},{253}>",10,0.384615
"<{31},{253}>",10,0.384615
"<{32},{253}>",10,0.384615
"<{34},{253}>",10,0.384615
"<{36},{253}>",10,0.384615
"<{4},{10}>",10,0.384615
"<{4},{29}>",11,0.423077
"<{4},{32}>",10,0.384615
"<{5},{20}>",10,0.384615
"<{5},{42}>",10,0.384615
"<{50},{253}>",11,0.423077
"<{6},{253}>",10,0.384615
"<{61},{253}>",10,0.384615
"<{7},{253}>",10,0.384615
"<{8},{24}>",12,0.461538
"<{8},{25}>",10,0.384615
"<{8},{30}>",11,0.423077
"<{8},{32}>",11,0.423077
"<{8},{34}>",11,0.423077
"<{8},{41}>",10,0.384615
"<{8},{42}>",11,0.423077
"<{8},{49}>",10,0.384615
"<{1},{13},{253}>",10,0.384615
"<{1},{24},{253}>",10,0.384615
"<{1},{58},{253}>",10,0.384615
"<{1},{64},{253}>",10,0.384615
"<{1},{65},{253}>",10,0.384615
"<{1},{8},{18}>",10,0.384615
"<{1},{9},{37}>",10,0.384615
"<{1},{9},{38}>",10,0.384615
"<{11},{20},{253}>",10,0.384615
"<{18},{22},{51}>",10,0.384615
"<{29},{245},{253}>",10,0.384615
"<{29},{246},{253}>",10,0.384615
"<{4},{37},{253}>",10,0.384615
"<{4},{5},{253}>",10,0.384615
"<{5},{35},{253}>",11,0.423077
"<{66},{245},{253}>",10,0.384615
"<{8},{9},{29}>",10,0.384615
"<{8},{9},{66}>",10,0.384615
"<{1},{10},{245},{253}>",10,0.384615
"<{1},{17},{20},{253}>",10,0.384615
"<{1},{17},{35},{253}>",11,0.423077
"<{1},{18},{20},{253}>",10,0.384615
"<{1},{18},{35},{253}>",11,0.423077
"<{1},{22},{35},{253}>",10,0.384615
"<{1},{26},{35},{253}>",11,0.423077
"<{1},{27},{35},{253}>",10,0.384615
"<{1},{38},{245},{253}>",11,0.423077
"<{1},{40},{245},{253}>",10,0.384615
"<{1},{5},{245},{253}>",10,0.384615
"<{1},{57},{245},{253}>",10,0.384615
"<{1},{60},{245},{253}>",10,0.384615
"<{1},{8},{14},{253}>",10,0.384615
"<{1},{9},{14},{253}>",12,0.461538
"<{1},{9},{20},{253}>",10,0.384615
"<{1},{9},{35},{253}>",10,0.384615
"<{10},{117},{245},{253}>",10,0.384615
"<{10},{245},{246},{253}>",10,0.384615
"<{13},{245},{246},{253}>",10,0.384615
"<{17},{18},{20},{253}>",10,0.384615
"<{17},{27},{35},{253}>",10,0.384615
"<{17},{35},{245},{253}>",10,0.384615
"<{17},{35},{246},{253}>",10,0.384615
"<{18},{22},{35},{253}>",11,0.423077
"<{18},{27},{35},{253}>",11,0.423077
"<{18},{35},{245},{253}>",10,0.384615
"<{18},{35},{246},{253}>",10,0.384615
"<{19},{132},{245},{253}>",10,0.384615
"<{19},{143},{245},{253}>",10,0.384615
"<{2},{132},{245},{253}>",10,0.384615
"<{2},{143},{245},{253}>",10,0.384615
"<{2},{245},{246},{253}>",10,0.384615
"<{20},{143},{245},{253}>",10,0.384615
"<{26},{35},{245},{253}>",10,0.384615
"<{26},{37},{245},{253}>",10,0.384615
"<{38},{143},{245},{253}>",11,0.423077
"<{38},{245},{246},{253}>",10,0.384615
"<{4},{17},{18},{23}>",10,0.384615
"<{4},{17},{22},{23}>",10,0.384615
"<{4},{8},{18},{23}>",10,0.384615
"<{4},{8},{9},{17}>",10,0.384615
"<{4},{8},{9},{23}>",10,0.384615
"<{4},{9},{22},{23}>",10,0.384615
"<{46},{132},{245},{253}>",10,0.384615
"<{5},{133},{245},{253}>",10,0.384615
"<{60},{133},{245},{253}>",10,0.384615
"<{60},{245},{246},{253}>",10,0.384615
"<{65},{245},{246},{253}>",10,0.384615
"<{8},{1},{245},{253}>",10,0.384615
"<{8},{10},{245},{253}>",10,0.384615
"<{8},{14},{245},{253}>",10,0.384615
"<{8},{18},{35},{253}>",10,0.384615
"<{8},{35},{245},{253}>",10,0.384615
"<{8},{9},{14},{253}>",13,0.500000
"<{8},{9},{20},{253}>",10,0.384615
"<{8},{9},{27},{28}>",10,0.384615
"<{8},{9},{37},{253}>",10,0.384615
"<{1},{11},{117},{245},{253}>",10,0.384615
"<{1},{11},{18},{245},{253}>",10,0.384615
"<{1},{11},{22},{245},{253}>",10,0.384615
"<{1},{11},{245},{246},{253}>",10,0.384615
"<{1},{118},{132},{245},{253}>",10,0.384615
"<{1},{118},{133},{245},{253}>",10,0.384615
"<{1},{136},{143},{245},{253}>",10,0.384615
"<{1},{17},{18},{22},{23}>",10,0.384615
"<{1},{23},{132},{245},{253}>",10,0.384615
"<{1},{23},{245},{246},{253}>",10,0.384615
"<{1},{26},{144},{245},{253}>",10,0.384615
"<{1},{27},{118},{245},{253}>",10,0.384615
"<{1},{27},{144},{245},{253}>",10,0.384615
"<{1},{37},{133},{245},{253}>",10,0.384615
"<{1},{37},{245},{246},{253}>",10,0.384615
"<{1},{41},{132},{245},{253}>",10,0.384615
"<{1},{46},{117},{245},{253}>",10,0.384615
"<{1},{46},{133},{245},{253}>",11,0.423077
"<{1},{53},{133},{245},{253}>",10,0.384615
"<{1},{8},{17},{245},{253}>",10,0.384615
"<{1},{8},{22},{245},{253}>",10,0.384615
"<{1},{8},{245},{246},{253}>",10,0.384615
"<{1},{8},{9},{245},{253}>",10,0.384615
"<{1},{9},{17},{22},{23}>",11,0.423077
"<{1},{9},{18},{22},{23}>",10,0.384615
"<{11},{117},{133},{245},{253}>",10,0.384615
"<{11},{117},{245},{246},{253}>",10,0.384615
"<{11},{132},{143},{245},{253}>",11,0.423077
"<{11},{18},{117},{245},{253}>",10,0.384615
"<{11},{18},{143},{245},{253}>",10,0.384615
"<{11},{22},{133},{245},{253}>",10,0.384615
"<{11},{22},{245},{246},{253}>",10,0.384615
"<{11},{26},{117},{245},{253}>",10,0.384615
"<{113},{132},{133},{245},{253}>",10,0.384615
"<{117},{118},{132},{245},{253}>",10,0.384615
"<{17},{132},{144},{245},{253}>",10,0.384615
"<{17},{136},{245},{246},{253}>",10,0.384615
"<{17},{139},{143},{245},{253}>",10,0.384615
"<{17},{18},{136},{245},{253}>",10,0.384615
"<{17},{22},{136},{245},{253}>",10,0.384615
"<{17},{22},{144},{245},{253}>",10,0.384615
"<{17},{23},{132},{245},{253}>",10,0.384615
"<{17},{23},{133},{245},{253}>",10,0.384615
"<{17},{23},{245},{246},{253}>",10,0.384615
"<{17},{26},{136},{245},{253}>",10,0.384615
"<{17},{26},{144},{245},{253}>",10,0.384615
"<{17},{37},{132},{245},{253}>",10,0.384615
"<{17},{37},{143},{245},{253}>",10,0.384615
"<{17},{41},{132},{245},{253}>",10,0.384615
"<{18},{132},{136},{245},{253}>",10,0.384615
"<{18},{133},{136},{245},{253}>",10,0.384615
"<{18},{139},{143},{245},{253}>",10,0.384615
"<{18},{23},{132},{245},{253}>",10,0.384615
"<{18},{23},{133},{245},{253}>",10,0.384615
"<{18},{23},{245},{246},{253}>",10,0.384615
"<{18},{41},{132},{245},{253}>",10,0.384615
"<{22},{118},{132},{245},{253}>",10,0.384615
"<{22},{136},{143},{245},{253}>",10,0.384615
"<{23},{118},{143},{245},{253}>",10,0.384615
"<{23},{132},{143},{245},{253}>",11,0.423077
"<{23},{133},{143},{245},{253}>",10,0.384615
"<{23},{26},{132},{245},{253}>",10,0.384615
"<{23},{26},{143},{245},{253}>",10,0.384615
"<{23},{27},{143},{245},{253}>",10,0.384615
"<{26},{114},{144},{245},{253}>",10,0.384615
"<{26},{143},{245},{253},{259}>",10,0.384615
"<{27},{132},{136},{245},{253}>",10,0.384615
"<{27},{132},{144},{245},{253}>",10,0.384615
"<{27},{139},{143},{245},{253}>",10,0.384615
"<{4},{118},{133},{245},{253}>",10,0.384615
"<{4},{118},{143},{245},{253}>",11,0.423077
"<{4},{118},{245},{246},{253}>",11,0.423077
"<{4},{132},{133},{245},{253}>",10,0.384615
"<{4},{132},{245},{246},{253}>",11,0.423077
"<{4},{133},{143},{245},{253}>",10,0.384615
"<{4},{136},{245},{246},{253}>",11,0.423077
"<{4},{17},{245},{246},{253}>",10,0.384615
"<{4},{17},{27},{245},{253}>",10,0.384615
"<{4},{18},{143},{245},{253}>",10,0.384615
"<{4},{22},{27},{245},{253}>",10,0.384615
"<{4},{27},{118},{245},{253}>",10,0.384615
"<{4},{27},{143},{245},{253}>",11,0.423077
"<{4},{46},{117},{245},{253}>",10,0.384615
"<{4},{46},{118},{245},{253}>",10,0.384615
"<{4},{46},{133},{245},{253}>",10,0.384615
"<{4},{8},{27},{245},{253}>",10,0.384615
"<{4},{9},{27},{245},{253}>",10,0.384615
"<{46},{117},{133},{245},{253}>",10,0.384615
"<{5},{117},{132},{245},{253}>",10,0.384615
"<{5},{117},{143},{245},{253}>",10,0.384615
"<{5},{132},{245},{246},{253}>",10,0.384615
"<{5},{143},{245},{246},{253}>",10,0.384615
"<{5},{17},{132},{245},{253}>",10,0.384615
"<{5},{17},{22},{245},{253}>",10,0.384615
"<{5},{18},{132},{245},{253}>",10,0.384615
"<{5},{18},{22},{245},{253}>",10,0.384615
"<{5},{18},{245},{246},{253}>",10,0.384615
"<{5},{26},{143},{245},{253}>",10,0.384615
"<{5},{26},{245},{246},{253}>",10,0.384615
"<{5},{27},{132},{245},{253}>",10,0.384615
"<{53},{133},{245},{246},{253}>",10,0.384615
"<{60},{132},{143},{245},{253}>",10,0.384615
"<{60},{22},{117},{245},{253}>",10,0.384615
"<{60},{22},{26},{245},{253}>",10,0.384615
"<{60},{26},{117},{245},{253}>",11,0.423077
"<{60},{26},{132},{245},{253}>",10,0.384615
"<{60},{26},{143},{245},{253}>",10,0.384615
"<{8},{17},{22},{35},{253}>",10,0.384615
"<{8},{17},{23},{245},{253}>",10,0.384615
"<{8},{18},{23},{245},{253}>",10,0.384615
"<{8},{23},{132},{245},{253}>",10,0.384615
"<{8},{23},{245},{246},{253}>",10,0.384615
"<{8},{26},{144},{245},{253}>",10,0.384615
"<{8},{26},{27},{35},{253}>",10,0.384615
"<{8},{26},{35},{246},{253}>",10,0.384615
"<{8},{27},{35},{246},{253}>",10,0.384615
"<{8},{9},{17},{22},{23}>",11,0.423077
"<{8},{9},{18},{22},{23}>",10,0.384615
"<{8},{9},{22},{35},{253}>",10,0.384615
"<{8},{9},{38},{245},{253}>",10,0.384615
"<{1},{11},{133},{143},{245},{253}>",10,0.384615
"<{1},{11},{143},{245},{253},{259}>",10,0.384615
"<{1},{110},{139},{143},{245},{253}>",10,0.384615
"<{1},{113},{133},{143},{245},{253}>",10,0.384615
"<{1},{113},{133},{245},{246},{253}>",10,0.384615
"<{1},{117},{118},{143},{245},{253}>",10,0.384615
"<{1},{117},{118},{245},{246},{253}>",10,0.384615
"<{1},{117},{139},{143},{245},{253}>",10,0.384615
"<{1},{118},{143},{245},{246},{253}>",10,0.384615
"<{1},{132},{136},{245},{246},{253}>",10,0.384615
"<{1},{132},{139},{143},{245},{253}>",10,0.384615
"<{1},{132},{143},{144},{245},{253}>",10,0.384615
"<{1},{133},{136},{245},{246},{253}>",10,0.384615
"<{1},{139},{143},{245},{246},{253}>",10,0.384615
"<{1},{17},{117},{118},{245},{253}>",10,0.384615
"<{1},{17},{132},{245},{246},{253}>",10,0.384615
"<{1},{17},{22},{114},{245},{253}>",10,0.384615
"<{1},{17},{22},{23},{245},{253}>",10,0.384615
"<{1},{17},{26},{245},{246},{253}>",10,0.384615
"<{1},{17},{26},{27},{245},{253}>",10,0.384615
"<{1},{17},{27},{117},{245},{253}>",11,0.423077
"<{1},{17},{27},{132},{245},{253}>",10,0.384615
"<{1},{17},{27},{143},{245},{253}>",11,0.423077
"<{1},{17},{27},{245},{246},{253}>",10,0.384615
"<{1},{17},{46},{143},{245},{253}>",10,0.384615
"<{1},{18},{117},{118},{245},{253}>",11,0.423077
"<{1},{18},{118},{143},{245},{253}>",10,0.384615
"<{1},{18},{118},{245},{246},{253}>",10,0.384615
"<{1},{18},{132},{245},{246},{253}>",11,0.423077
"<{1},{18},{22},{23},{245},{253}>",10,0.384615
"<{1},{18},{27},{132},{245},{253}>",10,0.384615
"<{1},{18},{27},{143},{245},{253}>",11,0.423077
"<{1},{18},{27},{245},{246},{253}>",10,0.384615
"<{1},{22},{117},{132},{245},{253}>",10,0.384615
"<{1},{26},{117},{118},{245},{253}>",10,0.384615
"<{1},{26},{133},{136},{245},{253}>",10,0.384615
"<{1},{26},{136},{245},{246},{253}>",10,0.384615
"<{1},{26},{27},{114},{245},{253}>",10,0.384615
"<{1},{37},{132},{143},{245},{253}>",10,0.384615
"<{1},{8},{26},{27},{245},{253}>",10,0.384615
"<{1},{9},{11},{143},{245},{253}>",11,0.423077
"<{1},{9},{117},{118},{245},{253}>",10,0.384615
"<{1},{9},{132},{245},{246},{253}>",10,0.384615
"<{1},{9},{18},{136},{245},{253}>",10,0.384615
"<{1},{9},{22},{23},{245},{253}>",10,0.384615
"<{1},{9},{22},{27},{245},{253}>",10,0.384615
"<{1},{9},{23},{133},{245},{253}>",10,0.384615
"<{1},{9},{26},{136},{245},{253}>",10,0.384615
"<{1},{9},{27},{132},{245},{253}>",10,0.384615
"<{1},{9},{27},{143},{245},{253}>",10,0.384615
"<{11},{133},{143},{245},{246},{253}>",10,0.384615
"<{11},{17},{18},{22},{245},{253}>",10,0.384615
"<{11},{22},{117},{143},{245},{253}>",10,0.384615
"<{110},{117},{139},{143},{245},{253}>",10,0.384615
"<{110},{132},{139},{143},{245},{253}>",10,0.384615
"<{110},{139},{143},{245},{246},{253}>",10,0.384615
"<{113},{117},{133},{143},{245},{253}>",10,0.384615
"<{113},{117},{133},{245},{246},{253}>",10,0.384615
"<{117},{118},{133},{245},{246},{253}>",10,0.384615
"<{117},{118},{143},{245},{246},{253}>",10,0.384615
"<{117},{132},{139},{143},{245},{253}>",10,0.384615
"<{117},{139},{143},{245},{246},{253}>",10,0.384615
"<{17},{117},{132},{245},{246},{253}>",10,0.384615
"<{17},{132},{133},{245},{246},{253}>",10,0.384615
"<{17},{18},{143},{245},{253},{259}>",10,0.384615
"<{17},{18},{23},{143},{245},{253}>",10,0.384615
"<{17},{22},{23},{143},{245},{253}>",10,0.384615
"<{17},{22},{26},{114},{245},{253}>",10,0.384615
"<{17},{22},{27},{114},{245},{253}>",10,0.384615
"<{17},{26},{132},{245},{246},{253}>",10,0.384615
"<{17},{26},{133},{245},{246},{253}>",10,0.384615
"<{17},{26},{143},{245},{246},{253}>",10,0.384615
"<{17},{26},{27},{143},{245},{253}>",10,0.384615
"<{17},{26},{27},{245},{246},{253}>",10,0.384615
"<{17},{27},{117},{132},{245},{253}>",10,0.384615
"<{17},{27},{117},{143},{245},{253}>",11,0.423077
"<{17},{27},{117},{245},{246},{253}>",11,0.423077
"<{17},{27},{132},{245},{246},{253}>",10,0.384615
"<{17},{27},{143},{245},{246},{253}>",11,0.423077
"<{18},{113},{133},{143},{245},{253}>",10,0.384615
"<{18},{113},{133},{245},{246},{253}>",10,0.384615
"<{18},{132},{143},{144},{245},{253}>",10,0.384615
"<{18},{22},{118},{143},{245},{253}>",10,0.384615
"<{18},{22},{118},{245},{246},{253}>",10,0.384615
"<{18},{22},{132},{144},{245},{253}>",10,0.384615
"<{18},{22},{136},{245},{246},{253}>",10,0.384615
"<{18},{22},{23},{143},{245},{253}>",10,0.384615
"<{18},{26},{132},{245},{246},{253}>",10,0.384615
"<{18},{26},{133},{245},{246},{253}>",10,0.384615
"<{18},{27},{132},{245},{246},{253}>",10,0.384615
"<{18},{27},{143},{245},{246},{253}>",11,0.423077
"<{22},{113},{117},{133},{245},{253}>",10,0.384615
"<{22},{117},{132},{245},{246},{253}>",10,0.384615
"<{22},{118},{133},{245},{246},{253}>",10,0.384615
"<{22},{118},{143},{245},{246},{253}>",10,0.384615
"<{22},{132},{136},{245},{246},{253}>",10,0.384615
"<{22},{133},{136},{245},{246},{253}>",10,0.384615
"<{22},{26},{133},{143},{245},{253}>",10,0.384615
"<{22},{26},{133},{245},{246},{253}>",10,0.384615
"<{22},{27},{117},{133},{245},{253}>",10,0.384615
"<{22},{27},{117},{143},{245},{253}>",10,0.384615
"<{22},{27},{117},{245},{246},{253}>",10,0.384615
"<{22},{27},{132},{133},{245},{253}>",10,0.384615
"<{22},{27},{133},{143},{245},{253}>",10,0.384615
"<{22},{27},{133},{245},{246},{253}>",10,0.384615
"<{22},{27},{143},{245},{246},{253}>",10,0.384615
"<{23},{117},{143},{245},{246},{253}>",10,0.384615
"<{26},{110},{139},{143},{245},{253}>",10,0.384615
"<{26},{113},{117},{133},{245},{253}>",11,0.423077
"<{26},{113},{118},{133},{245},{253}>",10,0.384615
"<{26},{113},{133},{143},{245},{253}>",10,0.384615
"<{26},{113},{133},{245},{246},{253}>",10,0.384615
"<{26},{117},{118},{133},{245},{253}>",10,0.384615
"<{26},{117},{118},{143},{245},{253}>",11,0.423077
"<{26},{117},{139},{143},{245},{253}>",10,0.384615
"<{26},{118},{132},{143},{245},{253}>",10,0.384615
"<{26},{118},{133},{245},{246},{253}>",10,0.384615
"<{26},{132},{133},{136},{245},{253}>",10,0.384615
"<{26},{132},{136},{143},{245},{253}>",10,0.384615
"<{26},{132},{136},{245},{246},{253}>",11,0.423077
"<{26},{132},{139},{143},{245},{253}>",10,0.384615
"<{26},{132},{143},{144},{245},{253}>",10,0.384615
"<{26},{136},{143},{245},{246},{253}>",10,0.384615
"<{26},{139},{143},{245},{246},{253}>",10,0.384615
"<{26},{27},{136},{245},{246},{253}>",10,0.384615
"<{26},{41},{132},{143},{245},{253}>",10,0.384615
"<{26},{41},{132},{245},{246},{253}>",10,0.384615
"<{27},{133},{136},{245},{246},{253}>",10,0.384615
"<{4},{114},{132},{143},{245},{253}>",10,0.384615
"<{4},{117},{132},{143},{245},{253}>",10,0.384615
"<{4},{117},{133},{245},{246},{253}>",10,0.384615
"<{4},{117},{143},{245},{246},{253}>",10,0.384615
"<{4},{17},{117},{143},{245},{253}>",10,0.384615
"<{4},{17},{18},{117},{245},{253}>",10,0.384615
"<{4},{17},{18},{133},{245},{253}>",10,0.384615
"<{4},{17},{18},{22},{245},{253}>",10,0.384615
"<{4},{17},{22},{117},{245},{253}>",11,0.423077
"<{4},{17},{22},{143},{245},{253}>",10,0.384615
"<{4},{17},{22},{26},{245},{253}>",10,0.384615
"<{4},{17},{26},{117},{245},{253}>",10,0.384615
"<{4},{18},{22},{117},{245},{253}>",10,0.384615
"<{4},{26},{117},{118},{245},{253}>",10,0.384615
"<{4},{26},{117},{133},{245},{253}>",10,0.384615
"<{4},{26},{117},{245},{246},{253}>",10,0.384615
"<{4},{26},{133},{245},{246},{253}>",10,0.384615
