sequence,support_count,support
<{1}>,680,0.931507
<{10}>,507,0.694521
<{11}>,455,0.623288
<{110}>,376,0.515068
<{113}>,341,0.467123
<{117}>,575,0.787671
<{118}>,439,0.601370
<{12}>,353,0.483562
<{13}>,476,0.652055
<{132}>,313,0.428767
<{133}>,338,0.463014
<{139}>,329,0.450685
<{14}>,420,0.575342
<{143}>,626,0.857534
<{144}>,440,0.602740
<{149}>,267,0.365753
<{15}>,394,0.539726
<{150}>,208,0.284932
<{16}>,358,0.490411
<{17}>,652,0.893151
<{18}>,552,0.756164
<{19}>,423,0.579452
<{2}>,363,0.497260
<{20}>,428,0.586301
<{21}>,317,0.434247
<{22}>,474,0.649315
<{23}>,442,0.605479
<{24}>,357,0.489041
<{245}>,549,0.752055
<{246}>,420,0.575342
<{247}>,202,0.276712
<{25}>,318,0.435616
<{253}>,664,0.909589
<{26}>,601,0.823288
<{27}>,513,0.702740
<{28}>,425,0.582192
<{29}>,369,0.505479
<{3}>,219,0.300000
<{30}>,344,0.471233
<{31}>,417,0.571233
<{32}>,371,0.508219
<{33}>,317,0.434247
<{34}>,324,0.443836
<{35}>,595,0.815068
<{36}>,528,0.723288
<{37}>,330,0.452055
<{38}>,336,0.460274
<{39}>,340,0.465753
<{4}>,384,0.526027
<{40}>,317,0.434247
<{41}>,366,0.501370
<{42}>,289,0.395890
<{43}>,285,0.390411
<{44}>,315,0.431507
<{45}>,329,0.450685
<{46}>,318,0.435616
<{47}>,302,0.413699
<{48}>,294,0.402740
<{49}>,269,0.368493
<{5}>,352,0.482192
<{50}>,288,0.394521
<{51}>,262,0.358904
<{52}>,267,0.365753
<{53}>,330,0.452055
<{54}>,264,0.361644
<{55}>,234,0.320548
<{56}>,245,0.335616
<{57}>,222,0.304110
<{58}>,239,0.327397
<{59}>,217,0.297260
<{6}>,324,0.443836
<{60}>,209,0.286301
<{61}>,212,0.290411
<{69}>,204,0.279452
<{7}>,336,0.460274
<{70}>,200,0.273973
<{78}>,382,0.523288
<{79}>,346,0.473973
<{8}>,638,0.873973
<{9}>,590,0.808219
"<{1},{10}>",314,0.430137
"<{1},{11}>",294,0.402740
"<{1},{110}>",288,0.394521
"<{1},{113}>",270,0.369863
"<{1},{117}>",452,0.619178
"<{1},{118}>",403,0.552055
"<{1},{12}>",249,0.341096
"<{1},{13}>",287,0.393151
"<{1},{132}>",285,0.390411
"<{1},{133}>",312,0.427397
"<{1},{139}>",312,0.427397
"<{1},{14}>",268,0.367123
"<{1},{143}>",574,0.786301
"<{1},{144}>",405,0.554795
"<{1},{149}>",248,0.339726
"<{1},{15}>",266,0.364384
"<{1},{16}>",264,0.361644
"<{1},{17}>",356,0.487671
"<{1},{18}>",369,0.505479
"<{1},{19}>",309,0.423288
"<{1},{20}>",292,0.400000
"<{1},{21}>",246,0.336986
"<{1},{22}>",326,0.446575
"<{1},{23}>",317,0.434247
"<{1},{24}>",264,0.361644
"<{1},{245}>",517,0.708219
"<{1},{246}>",378,0.517808
"<{1},{25}>",233,0.319178
"<{1},{253}>",616,0.843836
"<{1},{26}>",399,0.546575
"<{1},{27}>",395,0.541096
"<{1},{28}>",317,0.434247
"<{1},{29}>",275,0.376712
"<{1},{30}>",257,0.352055
"<{1},{31}>",292,0.400000
"<{1},{32}>",270,0.369863
"<{1},{33}>",239,0.327397
"<{1},{34}>",251,0.343836
"<{1},{35}>",421,0.576712
"<{1},{36}>",381,0.521918
"<{1},{37}>",234,0.320548
"<{1},{38}>",254,0.347945
"<{1},{39}>",257,0.352055
"<{1},{4}>",210,0.287671
"<{1},{40}>",238,0.326027
"<{1},{41}>",270,0.369863
"<{1},{42}>",223,0.305479
"<{1},{43}>",222,0.304110
"<{1},{44}>",229,0.313699
"<{1},{45}>",247,0.338356
"<{1},{46}>",232,0.317808
"<{1},{47}>",234,0.320548
"<{1},{48}>",222,0.304110
"<{1},{49}>",201,0.275342
"<{1},{5}>",207,0.283562
"<{1},{50}>",217,0.297260
"<{1},{52}>",201,0.275342
"<{1},{53}>",250,0.342466
"<{1},{54}>",209,0.286301
"<{1},{6}>",233,0.319178
"<{1},{7}>",262,0.358904
"<{1},{78}>",277,0.379452
"<{1},{79}>",250,0.342466
"<{1},{8}>",308,0.421918
"<{1},{9}>",374,0.512329
"<{10},{11}>",206,0.282192
"<{10},{110}>",218,0.298630
"<{10},{117}>",344,0.471233
"<{10},{118}>",249,0.341096
"<{10},{13}>",220,0.301370
"<{10},{133}>",210,0.287671
"<{10},{139}>",218,0.298630
"<{10},{143}>",390,0.534247
"<{10},{144}>",263,0.360274
"<{10},{17}>",294,0.402740
"<{10},{18}>",239,0.327397
"<{10},{19}>",219,0.300000
"<{10},{20}>",212,0.290411
"<{10},{22}>",219,0.300000
"<{10},{23}>",218,0.298630
"<{10},{245}>",356,0.487671
"<{10},{246}>",261,0.357534
"<{10},{253}>",448,0.613699
"<{10},{26}>",280,0.383562
"<{10},{27}>",220,0.301370
"<{10},{28}>",208,0.284932
"<{10},{31}>",216,0.295890
"<{10},{35}>",296,0.405479
"<{10},{36}>",275,0.376712
"<{10},{78}>",220,0.301370
"<{11},{117}>",282,0.386301
"<{11},{118}>",209,0.286301
"<{11},{143}>",324,0.443836
"<{11},{144}>",238,0.326027
"<{11},{17}>",220,0.301370
"<{11},{245}>",308,0.421918
"<{11},{246}>",236,0.323288
"<{11},{253}>",391,0.535616
"<{11},{26}>",224,0.306849
"<{11},{35}>",228,0.312329
"<{11},{36}>",212,0.290411
"<{110},{117}>",338,0.463014
"<{110},{118}>",289,0.395890
"<{110},{139}>",303,0.415068
"<{110},{143}>",347,0.475342
"<{110},{144}>",261,0.357534
"<{110},{245}>",302,0.413699
"<{110},{246}>",208,0.284932
"<{110},{253}>",339,0.464384
"<{113},{117}>",284,0.389041
"<{113},{133}>",250,0.342466
"<{113},{143}>",303,0.415068
"<{113},{245}>",237,0.324658
"<{113},{253}>",311,0.426027
"<{117},{118}>",383,0.524658
"<{117},{132}>",244,0.334247
"<{117},{133}>",283,0.387671
"<{117},{139}>",302,0.413699
"<{117},{143}>",528,0.723288
"<{117},{144}>",356,0.487671
"<{117},{149}>",238,0.326027
"<{117},{245}>",427,0.584932
"<{117},{246}>",321,0.439726
"<{117},{253}>",519,0.710959
"<{118},{132}>",219,0.300000
"<{118},{139}>",263,0.360274
"<{118},{143}>",391,0.535616
"<{118},{144}>",327,0.447945
"<{118},{245}>",351,0.480822
"<{118},{246}>",255,0.349315
"<{118},{253}>",394,0.539726
"<{12},{143}>",221,0.302740
"<{12},{245}>",225,0.308219
"<{12},{253}>",297,0.406849
"<{13},{117}>",287,0.393151
"<{13},{118}>",217,0.297260
"<{13},{143}>",341,0.467123
"<{13},{144}>",241,0.330137
"<{13},{17}>",281,0.384932
"<{13},{18}>",226,0.309589
"<{13},{22}>",213,0.291781
"<{13},{245}>",335,0.458904
"<{13},{246}>",240,0.328767
"<{13},{253}>",408,0.558904
"<{13},{26}>",255,0.349315
"<{13},{27}>",224,0.306849
"<{13},{31}>",211,0.289041
"<{13},{35}>",267,0.365753
"<{13},{36}>",243,0.332877
"<{132},{143}>",289,0.395890
"<{132},{144}>",225,0.308219
"<{132},{245}>",254,0.347945
"<{132},{253}>",291,0.398630
"<{133},{143}>",304,0.416438
"<{133},{245}>",237,0.324658
"<{133},{253}>",308,0.421918
"<{139},{143}>",321,0.439726
"<{139},{144}>",244,0.334247
"<{139},{245}>",265,0.363014
"<{139},{253}>",291,0.398630
"<{14},{117}>",250,0.342466
"<{14},{143}>",289,0.395890
"<{14},{144}>",209,0.286301
"<{14},{17}>",217,0.297260
"<{14},{245}>",282,0.386301
"<{14},{253}>",356,0.487671
"<{14},{26}>",200,0.273973
"<{14},{35}>",223,0.305479
"<{143},{144}>",408,0.558904
"<{143},{149}>",246,0.336986
"<{143},{245}>",462,0.632877
"<{143},{246}>",349,0.478082
"<{143},{253}>",569,0.779452
"<{144},{245}>",334,0.457534
"<{144},{246}>",255,0.349315
"<{144},{253}>",392,0.536986
"<{149},{150}>",200,0.273973
"<{149},{253}>",235,0.321918
"<{15},{117}>",203,0.278082
"<{15},{143}>",264,0.361644
"<{15},{144}>",201,0.275342
"<{15},{245}>",261,0.357534
"<{15},{253}>",340,0.465753
"<{16},{143}>",219,0.300000
"<{16},{245}>",215,0.294521
"<{16},{253}>",294,0.402740
"<{17},{1}>",251,0.343836
"<{17},{110}>",310,0.424658
"<{17},{113}>",289,0.395890
"<{17},{117}>",488,0.668493
"<{17},{118}>",352,0.482192
"<{17},{12}>",219,0.300000
"<{17},{132}>",248,0.339726
"<{17},{133}>",288,0.394521
"<{17},{139}>",280,0.383562
"<{17},{143}>",536,0.734247
"<{17},{144}>",369,0.505479
"<{17},{149}>",244,0.334247
"<{17},{15}>",219,0.300000
"<{17},{16}>",240,0.328767
"<{17},{18}>",429,0.587671
"<{17},{19}>",305,0.417808
"<{17},{20}>",306,0.419178
"<{17},{21}>",220,0.301370
"<{17},{22}>",336,0.460274
"<{17},{23}>",313,0.428767
"<{17},{24}>",241,0.330137
"<{17},{245}>",478,0.654795
"<{17},{246}>",355,0.486301
"<{17},{25}>",236,0.323288
"<{17},{253}>",578,0.791781
"<{17},{26}>",453,0.620548
"<{17},{27}>",359,0.491781
"<{17},{28}>",297,0.406849
"<{17},{29}>",264,0.361644
"<{17},{30}>",245,0.335616
"<{17},{31}>",310,0.424658
"<{17},{32}>",259,0.354795
"<{17},{33}>",230,0.315068
"<{17},{34}>",226,0.309589
"<{17},{35}>",459,0.628767
"<{17},{36}>",373,0.510959
"<{17},{37}>",231,0.316438
"<{17},{38}>",242,0.331507
"<{17},{39}>",242,0.331507
"<{17},{40}>",217,0.297260
"<{17},{41}>",251,0.343836
"<{17},{42}>",200,0.273973
"<{17},{43}>",209,0.286301
"<{17},{44}>",210,0.287671
"<{17},{45}>",224,0.306849
"<{17},{46}>",213,0.291781
"<{17},{47}>",211,0.289041
"<{17},{48}>",202,0.276712
"<{17},{53}>",216,0.295890
"<{17},{6}>",219,0.300000
"<{17},{7}>",237,0.324658
"<{17},{78}>",305,0.417808
"<{17},{79}>",275,0.376712
"<{18},{110}>",242,0.331507
"<{18},{113}>",218,0.298630
"<{18},{117}>",376,0.515068
"<{18},{118}>",293,0.401370
"<{18},{132}>",231,0.316438
"<{18},{133}>",225,0.308219
"<{18},{139}>",224,0.306849
"<{18},{143}>",433,0.593151
"<{18},{144}>",315,0.431507
"<{18},{19}>",223,0.305479
"<{18},{20}>",204,0.279452
"<{18},{22}>",255,0.349315
"<{18},{23}>",241,0.330137
"<{18},{245}>",390,0.534247
"<{18},{246}>",286,0.391781
"<{18},{253}>",478,0.654795
"<{18},{26}>",321,0.439726
"<{18},{27}>",295,0.404110
"<{18},{28}>",232,0.317808
"<{18},{29}>",203,0.278082
"<{18},{31}>",212,0.290411
"<{18},{35}>",327,0.447945
"<{18},{36}>",287,0.393151
"<{18},{41}>",203,0.278082
"<{18},{78}>",207,0.283562
"<{19},{117}>",227,0.310959
"<{19},{143}>",278,0.380822
"<{19},{144}>",202,0.276712
"<{19},{245}>",261,0.357534
"<{19},{246}>",209,0.286301
"<{19},{253}>",344,0.471233
"<{19},{26}>",200,0.273973
"<{2},{117}>",230,0.315068
"<{2},{143}>",288,0.394521
"<{2},{144}>",217,0.297260
"<{2},{17}>",227,0.310959
"<{2},{18}>",216,0.295890
"<{2},{245}>",278,0.380822
"<{2},{246}>",205,0.280822
"<{2},{253}>",330,0.452055
"<{2},{26}>",224,0.306849
"<{2},{27}>",210,0.287671
"<{2},{35}>",227,0.310959
"<{2},{8}>",233,0.319178
"<{2},{9}>",222,0.304110
"<{20},{117}>",246,0.336986
"<{20},{143}>",285,0.390411
"<{20},{144}>",215,0.294521
"<{20},{245}>",273,0.373973
"<{20},{246}>",205,0.280822
"<{20},{253}>",348,0.476712
"<{20},{26}>",220,0.301370
"<{20},{35}>",204,0.279452
"<{21},{253}>",239,0.327397
"<{22},{117}>",287,0.393151
"<{22},{118}>",222,0.304110
"<{22},{143}>",342,0.468493
"<{22},{144}>",244,0.334247
"<{22},{245}>",318,0.435616
"<{22},{246}>",258,0.353425
"<{22},{253}>",414,0.567123
"<{22},{26}>",292,0.400000
