sequence,support_count,support
<{10299}>,721,0.012097
<{10331}>,690,0.011577
<{10335}>,1167,0.019580
<{10877}>,1389,0.023305
<{12339}>,910,0.015268
<{12355}>,1089,0.018272
<{12407}>,756,0.012684
<{12411}>,797,0.013372
<{12431}>,1198,0.020100
<{12463}>,797,0.013372
<{12479}>,731,0.012265
<{12559}>,1099,0.018439
<{12567}>,890,0.014933
<{12571}>,676,0.011342
<{12603}>,648,0.010872
<{12621}>,1488,0.024966
<{12627}>,781,0.013104
<{12655}>,758,0.012718
<{12659}>,1006,0.016879
<{12663}>,1793,0.030083
<{12679}>,1788,0.029999
<{12683}>,779,0.013070
<{12687}>,724,0.012147
<{12691}>,1002,0.016812
<{12715}>,1214,0.020369
<{12723}>,1267,0.021258
<{12751}>,1039,0.017433
<{12755}>,652,0.010939
<{12759}>,845,0.014178
<{12763}>,696,0.011678
<{12771}>,671,0.011258
<{12779}>,794,0.013322
<{12783}>,945,0.015855
<{12795}>,908,0.015235
<{12815}>,704,0.011812
<{12819}>,1113,0.018674
<{12823}>,605,0.010151
<{12827}>,1017,0.017063
<{12831}>,1180,0.019798
<{12875}>,1355,0.022735
<{12895}>,3623,0.060788
<{18787}>,736,0.012349
<{18863}>,863,0.014480
<{32205}>,871,0.014614
<{32213}>,1616,0.027114
<{33429}>,600,0.010067
<{33433}>,891,0.014949
<{33453}>,651,0.010923
<{34885}>,937,0.015721
<{34889}>,755,0.012668
<{34893}>,1201,0.020151
<{34897}>,682,0.011443
<{34901}>,617,0.010352
<{34905}>,723,0.012131
<{35185}>,639,0.010721
<{47945}>,620,0.010403
<{47957}>,627,0.010520
"<{10295},{10307}>",916,0.015369
"<{10295},{10311}>",738,0.012382
"<{10295},{10315}>",722,0.012114
"<{10307},{10311}>",621,0.010419
"<{10311},{10315}>",771,0.012936
"<{10311},{12487}>",615,0.010319
"<{12483},{12487}>",877,0.014715
"<{12487},{12703}>",631,0.010587
"<{12695},{12703}>",615,0.010319
"<{33449},{33469}>",1204,0.020201
